question,score
A,40.0
B,40.0
C,9.348
B,40.0
B,40.0
C,18.857999999999997
C,18.759999999999998
C,18.858
B,40.0
C,19.118
B,40.0
C,19.058
C,18.991999999999997
C,19.142
C,18.982
C,19.055999999999997
B,40.0
C,19.718
B,40.0
C,19.678
C,19.794
C,19.746000000000002
C,19.614
B,40.0
B,40.0
C,20.0
